"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Europe & Central Asia","ECS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.1180114746094","95.4030990600586","95.4783020019531","95.6414566040039","95.7441711425781","95.8563003540039","95.9680099487305","96.0778503417969","96.2226715087891","96.4052505493164","96.5377883911133","96.8430709838867","96.9419097900391","97.0012664794922","97.1007690429688","97.1922607421875","97.2903289794922","97.3957901000977","97.4997406005859","97.5280838012695","97.5940093994141","97.6370620727539","97.9898071289063","98.1981582641602","98.4303817749023","98.5395584106445","98.5931625366211","98.6237716674805","98.6567001342773","98.7294311523438","","",
"Ecuador","ECU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","80.4052276611328","","","","","","","","86.1933288574219","","","","","","","","","","","89.6970901489258","","","","","","90.8655700683594","91.1225662231445","90.9175491333008","90.4701080322266","90.220817565918","90.9516830444336","92.2180786132813","93.2538604736328","93.2566223144531","93.3145294189453","","",
"Egypt, Arab Rep.","EGY","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","22.438009262085","","","","","","","","","","31.3926696777344","","","","","","","","","","43.5953102111816","","","","","","","","","30.7979602813721","57.8119087219238","","","","63.5158081054688","","65.7566604614258","67.1798629760742","","","","65.5056915283203","",
"Euro area","EMU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.5955200195313","96.6784973144531","96.7673797607422","96.8505096435547","96.9263916015625","97.0085372924805","97.0880508422852","97.2235794067383","97.3610916137695","97.4820327758789","97.6414489746094","97.758659362793","97.871337890625","97.9829406738281","98.0552978515625","98.1602020263672","98.2007293701172","98.1804504394531","98.3071594238281","98.3010864257813","98.3178329467773","98.2793807983398","98.3190231323242","98.4947967529297","98.5531997680664","98.6100311279297","98.6427001953125","98.6765518188477","98.7230834960938","","",
"Eritrea","ERI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.2244186401367","","","","","","54.8010711669922","","","","","","","","","","",
"Spain","ESP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","89.9369201660156","","","","","","","","","","95.0510025024414","","","","","","","","","","","","","96.2308807373047","96.9251480102539","","97.2603225708008","96.8868408203125","96.9259719848633","97.0045013427734","97.0655670166016","97.2180404663086","97.4405364990234","97.4873504638672","97.5471267700195","97.6953582763672","","",
"Estonia","EST","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6014785766602","","","","","","","","","","","99.7600631713867","","","","","","","","","","","99.9094772338867","","","","","","","",
"Ethiopia","ETH","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5149803161621","","","","","","","","","","22.7999992370605","17.9771995544434","","28.9216403961182","","","","","","","","","","","",
"European Union","EUU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0922775268555","97.1657791137695","97.2433090209961","97.3115692138672","","97.4407272338867","97.5060272216797","97.6232528686523","97.7396697998047","97.8468704223633","97.9833602905273","98.060302734375","98.1600494384766","98.257942199707","98.3306732177734","98.4199829101563","98.4691925048828","98.463752746582","98.554557800293","98.5574569702148","98.5791778564453","98.6084518432617","98.6398620605469","98.7610473632813","98.8041915893555","98.8462600708008","98.8721313476563","98.898681640625","98.9331283569336","","",
"Fragile and conflict affected situations","FCS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2038497924805","45.7586402893066","45.9112281799316","46.3860282897949","46.7990989685059","47.3069381713867","47.5278511047363","48.5840797424316","49.3397216796875","49.9446601867676","50.8374786376953","51.700439453125","52.3841209411621","53.5818405151367","54.3010482788086","54.5979309082031","55.0455207824707","55.5188484191895","55.8043785095215","53.8352394104004","54.0681114196777","53.8126907348633","51.9591102600098","52.4294395446777","51.8732109069824","52.3585205078125","52.1861190795898","53.1735916137695","53.7190895080566","54.2853698730469","","",
